Passport,AFG,ALB,DZA,AND,AGO,ATG,ARG,ARM,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CAF,TCD,CHL,CHN,COL,COM,COG,COD,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,SWZ,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GRC,GRD,GTM,GIN,GNB,GUY,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,XKX,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MDA,MCO,MNG,MNE,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,NZL,NIC,NER,NGA,PRK,MKD,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROU,RUS,RWA,KNA,LCA,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,KOR,SSD,ESP,LKA,VCT,SDN,SUR,SWE,CHE,SYR,TWN,TJK,TZA,THA,TLS,TGO,TON,TTO,TUN,TUR,TKM,TUV,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VAT,VEN,VNM,YEM,ZMB,ZWE
CMR,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,-1,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban
CAN,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,-1,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban
CPV,visa on arrival,visa on arrival,visa on arrival,30,visa free,visa on arrival,visa on arrival,visa on arrival,visa on arrival,30,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,30,visa on arrival,visa free,visa on arrival,visa on arrival,visa on arrival,visa on arrival,30,visa on arrival,30,visa free,visa on arrival,visa on arrival,visa on arrival,30,-1,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa free,30,visa on arrival,30,30,30,visa on arrival,visa free,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,30,visa on arrival,visa on arrival,visa on arrival,30,30,visa on arrival,visa free,visa on arrival,30,visa free,30,visa on arrival,visa on arrival,visa free,visa free,visa on arrival,visa on arrival,visa on arrival,90,30,30,visa on arrival,visa on arrival,visa on arrival,visa on arrival,30,visa on arrival,30,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,30,visa on arrival,visa on arrival,visa free,visa on arrival,30,30,30,90,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa free,30,visa on arrival,visa free,visa on arrival,visa on arrival,visa on arrival,visa on arrival,30,visa on arrival,visa on arrival,visa required,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,30,visa on arrival,visa on arrival,visa free,visa free,visa on arrival,visa on arrival,30,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,30,30,visa on arrival,30,60,visa on arrival,visa on arrival,visa on arrival,visa on arrival,30,visa on arrival,visa on arrival,visa free,visa on arrival,visa on arrival,visa free,30,30,30,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,30,visa on arrival,visa on arrival,visa on arrival,visa on arrival,30,30,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa free,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,30,30,visa on arrival,visa on arrival,visa on arrival,30,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival
CAF,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa required,90,90,visa required,90,visa required,visa required,-1,90,visa required,visa required,visa required,visa required,90,90,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa on arrival,visa required,180,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required
TCD,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,90,visa required,visa required,90,-1,visa required,visa required,visa required,visa required,90,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,90,90,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa free,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required
CHL,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,e-visa,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,-1,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban
CHN,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,30,visa required,visa required,30,30,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,15,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,-1,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,30,visa required,visa required,visa required,visa required,visa required,visa required,visa required,30,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,30,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,15,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa free,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,60,visa required,visa required,visa required,visa required,30,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,30,visa required,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,30,30,visa required,15,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa required,visa required,visa required,30,visa required,visa required,visa required,visa required,visa required,visa required,visa required,30,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required
COL,e-visa,90,e-visa,90,e-visa,90,90,e-visa,90,90,90,90,e-visa,e-visa,90,e-visa,90,90,e-visa,90,90,90,e-visa,90,90,90,e-visa,e-visa,e-visa,e-visa,90,e-visa,e-visa,e-visa,90,e-visa,-1,e-visa,e-visa,e-visa,90,e-visa,90,e-visa,90,90,90,e-visa,90,90,90,e-visa,90,e-visa,e-visa,90,e-visa,e-visa,90,90,90,e-visa,e-visa,90,90,e-visa,90,90,90,e-visa,e-visa,90,e-visa,90,90,90,90,e-visa,90,e-visa,e-visa,90,90,90,90,90,e-visa,90,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,90,e-visa,e-visa,e-visa,e-visa,90,90,90,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,90,90,e-visa,e-visa,90,90,90,90,e-visa,90,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,90,90,e-visa,e-visa,e-visa,e-visa,90,90,e-visa,e-visa,90,e-visa,90,90,90,90,90,90,90,90,90,90,e-visa,90,90,90,90,e-visa,e-visa,e-visa,90,e-visa,e-visa,90,90,90,90,e-visa,e-visa,90,e-visa,90,e-visa,90,e-visa,90,90,90,e-visa,90,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,90,e-visa,90,e-visa,e-visa,e-visa,90,90,90,90,90,e-visa,e-visa,90,90,e-visa,e-visa,e-visa,e-visa
COM,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,-1,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival
COG,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa on arrival,visa required,visa required,90,visa required,visa required,90,90,visa required,visa required,visa required,visa required,-1,visa required,visa required,visa on arrival,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa required,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required
COD,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa free,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,90,-1,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa free,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,90
CRI,visa required,visa required,visa required,90,visa required,90,90,visa required,90,90,visa required,90,visa required,visa required,90,visa required,90,90,visa required,visa required,90,visa required,visa required,90,90,90,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,-1,visa required,90,visa required,90,90,90,visa required,90,visa required,visa required,visa required,90,visa required,visa required,90,visa required,visa required,90,90,90,visa required,visa required,visa required,90,visa required,90,90,90,visa required,visa required,90,visa required,90,visa required,90,90,visa required,visa required,visa required,visa required,90,90,90,visa required,90,visa required,90,visa required,90,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,90,90,90,visa required,visa required,visa required,90,90,visa required,90,90,visa required,90,90,90,visa required,90,visa required,90,visa required,visa required,visa required,visa required,90,visa required,90,90,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,90,visa required,90,visa required,90,90,90,90,90,90,90,90,visa required,90,90,90,90,90,visa required,visa required,90,90,visa required,90,90,90,90,visa required,90,90,visa required,90,visa required,90,visa required,90,90,90,visa required,90,visa required,visa required,visa required,visa required,visa required,90,90,visa required,90,visa required,90,visa required,90,90,90,90,90,visa required,90,90,90,visa required,visa required,visa required,visa required
CIV,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,90,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,90,e-visa,e-visa,e-visa,e-visa,90,90,90,e-visa,e-visa,e-visa,e-visa,90,e-visa,e-visa,-1,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,90,e-visa,e-visa,90,e-visa,e-visa,e-visa,90,90,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,90,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,90,e-visa,e-visa,90,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,90,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,90,90,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,90,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,90,e-visa,90,90,90,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,90,e-visa,e-visa,90,e-visa,e-visa,e-visa,e-visa,e-visa,visa on arrival,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa
HRV,visa required,90,visa required,90,visa required,90,90,visa required,90,90,visa required,90,visa required,visa required,90,visa required,visa free,visa required,visa required,visa required,visa required,90,visa required,90,90,visa free,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,90,visa required,90,visa required,visa required,visa required,90,visa required,-1,visa required,visa free,visa free,visa free,visa required,90,visa required,visa required,visa required,90,visa required,visa required,visa free,visa required,visa required,visa required,visa free,visa free,visa required,visa required,90,visa free,visa required,visa free,90,90,visa required,visa required,visa required,visa required,90,90,visa free,visa free,visa required,visa required,visa required,visa required,visa free,90,visa free,visa required,90,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa free,visa required,visa required,visa required,visa required,visa free,visa free,visa free,90,visa required,visa required,90,visa required,visa required,visa free,90,visa required,90,90,90,90,visa free,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa free,90,90,visa required,visa required,visa required,90,visa free,visa required,visa required,90,visa required,90,visa required,90,90,visa required,visa free,visa free,visa required,visa free,visa required,visa required,90,90,90,90,visa required,visa required,visa required,90,90,visa required,90,visa free,visa free,90,visa required,visa required,90,visa required,visa free,visa required,90,visa required,visa required,visa free,visa free,visa required,90,visa required,visa required,visa required,90,visa required,90,90,visa required,visa required,visa required,90,visa required,90,90,visa free,90,90,visa required,90,90,90,visa required,visa required,visa required,visa required
CUB,visa required,visa required,visa required,visa required,visa required,30,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,28,30,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,-1,visa required,visa required,visa required,visa required,28,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,60,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,30,90,visa required,visa required,visa required,visa free,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,90,visa required,30,30,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,30,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,60,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required
