Passport,AFG,ALB,DZA,AND,AGO,ATG,ARG,ARM,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CAF,TCD,CHL,CHN,COL,COM,COG,COD,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,SWZ,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GRC,GRD,GTM,GIN,GNB,GUY,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,XKX,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MDA,MCO,MNG,MNE,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,NZL,NIC,NER,NGA,PRK,MKD,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROU,RUS,RWA,KNA,LCA,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,KOR,SSD,ESP,LKA,VCT,SDN,SUR,SWE,CHE,SYR,TWN,TJK,TZA,THA,TLS,TGO,TON,TTO,TUN,TUR,TKM,TUV,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VAT,VEN,VNM,YEM,ZMB,ZWE
GNQ,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,visa free,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,90,e-visa,e-visa,e-visa,e-visa,e-visa,visa free,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,-1,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,30,90,e-visa,e-visa,e-visa,e-visa,90,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa
ERI,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,-1,visa required,visa required,visa on arrival,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa free,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa free,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required
EST,visa required,90,visa required,90,visa required,90,90,visa required,90,visa free,visa required,90,visa required,visa required,90,visa required,visa free,visa required,visa required,visa required,visa required,90,visa required,90,90,visa free,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,90,visa required,90,visa required,visa required,visa required,90,visa required,visa free,visa required,visa free,visa free,visa free,visa required,90,visa required,visa required,visa required,90,visa required,visa required,-1,visa required,visa required,visa required,visa free,visa free,visa required,visa required,90,visa free,visa required,visa free,90,90,visa required,visa required,visa required,visa required,90,90,visa free,visa free,visa required,visa required,visa required,visa required,visa free,90,visa free,visa required,90,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa free,visa required,visa required,visa required,visa required,visa free,visa free,visa free,90,visa required,visa required,90,visa required,visa required,visa free,90,visa required,90,90,90,90,90,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa free,90,90,visa required,visa required,visa required,90,visa free,visa required,visa required,90,visa required,90,visa required,90,90,visa required,visa free,visa free,visa required,visa free,visa required,visa required,90,90,90,90,visa required,visa required,visa required,90,90,visa required,90,visa free,visa free,90,visa required,visa required,90,visa required,visa free,visa required,90,visa required,visa required,visa free,visa free,visa required,90,visa required,visa required,visa required,90,visa required,90,90,visa required,visa required,visa required,90,visa required,90,90,90,90,90,visa required,visa required,90,90,visa required,visa required,visa required,visa required
SWZ,visa required,visa required,visa required,30,visa required,30,30,visa required,30,30,visa required,30,visa required,visa required,30,visa required,30,30,visa required,visa required,visa required,30,30,30,30,visa required,visa required,visa required,visa required,visa required,30,visa required,visa required,visa required,30,visa required,visa required,visa required,visa required,visa required,visa required,visa required,30,visa required,30,30,30,visa required,30,visa required,visa required,visa required,visa required,visa required,visa required,30,-1,visa required,visa required,30,30,visa required,30,visa required,30,30,30,30,visa required,visa required,visa required,30,visa required,visa required,visa required,30,visa required,visa required,visa required,visa required,visa required,30,30,30,30,30,visa required,visa required,30,visa required,visa required,30,visa required,visa required,30,visa required,30,visa required,visa required,30,30,30,visa required,30,30,30,30,visa required,30,visa required,visa required,30,visa required,visa required,visa required,30,visa required,30,visa required,30,visa required,30,30,visa required,30,30,visa required,visa required,visa required,visa required,visa required,30,visa required,visa required,visa required,30,visa required,30,visa required,visa required,visa required,30,30,30,visa required,30,visa required,visa required,30,30,30,visa required,visa required,visa required,30,30,30,30,30,30,30,visa required,30,30,visa required,30,visa required,visa required,visa required,visa required,30,30,visa required,30,visa required,30,visa required,30,visa required,30,30,visa required,30,visa required,30,30,30,visa required,30,30,30,visa required,30,30,visa required,visa required,visa required,30,30
ETH,e-visa,e-visa,visa on arrival,e-visa,visa on arrival,e-visa,visa on arrival,e-visa,visa on arrival,visa on arrival,e-visa,e-visa,visa on arrival,e-visa,e-visa,visa on arrival,visa on arrival,e-visa,visa on arrival,e-visa,e-visa,visa on arrival,visa on arrival,visa on arrival,e-visa,visa on arrival,visa on arrival,visa on arrival,e-visa,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,e-visa,visa on arrival,e-visa,visa on arrival,visa on arrival,visa on arrival,e-visa,visa on arrival,visa on arrival,e-visa,visa on arrival,visa on arrival,visa on arrival,90,e-visa,e-visa,e-visa,e-visa,e-visa,visa on arrival,e-visa,visa on arrival,visa on arrival,-1,e-visa,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,e-visa,e-visa,visa on arrival,visa on arrival,e-visa,e-visa,e-visa,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,e-visa,e-visa,visa on arrival,visa on arrival,visa on arrival,e-visa,visa on arrival,visa on arrival,e-visa,360,e-visa,visa on arrival,visa on arrival,e-visa,e-visa,visa on arrival,visa on arrival,visa on arrival,visa on arrival,e-visa,visa on arrival,visa on arrival,visa on arrival,e-visa,visa on arrival,visa on arrival,e-visa,e-visa,visa on arrival,visa on arrival,e-visa,visa on arrival,visa on arrival,visa on arrival,e-visa,e-visa,visa on arrival,e-visa,visa on arrival,visa on arrival,visa on arrival,e-visa,visa on arrival,e-visa,e-visa,visa on arrival,visa on arrival,e-visa,visa on arrival,e-visa,visa on arrival,visa on arrival,visa on arrival,visa on arrival,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,e-visa,e-visa,e-visa,e-visa,visa on arrival,visa on arrival,visa on arrival,e-visa,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,e-visa,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,e-visa,e-visa,e-visa,e-visa,visa on arrival,visa on arrival,visa required,visa on arrival,e-visa,visa on arrival,visa on arrival,e-visa,visa on arrival,e-visa,e-visa,visa on arrival,visa on arrival,e-visa,e-visa,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,visa on arrival,visa on arrival
FJI,visa required,visa required,visa required,visa required,visa required,120,120,visa required,120,120,visa required,120,visa required,120,120,visa required,120,120,visa required,visa required,visa required,visa required,120,120,120,120,visa required,visa required,visa required,visa required,120,visa required,visa required,visa required,120,120,120,visa required,visa required,visa required,visa required,visa required,120,120,120,120,120,visa required,120,visa required,visa required,visa required,visa required,visa required,visa required,120,120,visa required,-1,120,120,visa required,120,120,120,120,120,120,visa required,visa required,visa required,120,visa required,visa required,120,120,120,120,120,visa required,visa required,120,120,120,120,120,visa required,visa required,120,120,visa required,visa required,visa required,visa required,120,visa required,120,visa required,visa required,120,120,120,120,visa required,120,120,120,visa required,120,120,visa required,120,120,120,120,120,visa required,visa required,visa required,visa required,visa required,visa required,120,visa required,120,120,visa required,visa required,120,visa required,visa required,120,visa required,visa required,120,visa required,visa required,120,120,120,120,120,120,visa required,120,120,visa required,120,120,120,visa required,visa required,visa required,120,120,120,120,120,120,120,120,visa required,120,120,visa required,120,visa required,120,visa required,visa required,120,120,visa required,120,visa required,120,120,visa required,visa required,120,120,120,120,visa required,120,120,120,120,120,120,120,visa required,120,120,120,visa required,visa required,120,120
FIN,visa required,90,visa required,90,visa required,90,90,visa required,90,visa free,visa required,90,visa required,visa required,90,visa required,visa free,visa required,visa required,visa required,visa required,90,visa required,90,90,visa free,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,90,visa required,90,visa required,visa required,visa required,90,visa required,visa free,visa required,visa free,visa free,visa free,visa required,90,visa required,visa required,visa required,90,visa required,visa required,visa free,visa required,visa required,visa required,-1,visa free,visa required,visa required,90,visa free,visa required,visa free,90,90,visa required,visa required,visa required,visa required,90,90,visa free,visa free,visa required,visa required,visa required,visa required,visa free,90,visa free,visa required,90,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa free,visa required,visa required,visa required,visa required,visa free,visa free,visa free,90,visa required,visa required,90,visa required,visa required,visa free,90,visa required,90,90,90,90,90,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa free,90,90,visa required,visa required,visa required,90,visa free,visa required,visa required,90,visa required,90,visa required,90,90,visa required,visa free,visa free,visa required,visa free,visa required,visa required,90,90,90,90,visa required,visa required,visa required,90,90,visa required,90,visa free,visa free,90,visa required,visa required,90,visa required,visa free,visa required,90,visa required,visa required,visa free,visa free,visa required,90,visa required,visa required,visa required,90,visa required,90,90,visa required,visa required,visa required,90,visa required,90,90,90,90,90,visa required,visa required,90,90,visa required,visa required,visa required,visa required
FRA,visa required,90,visa required,90,visa required,90,90,visa required,90,visa free,visa required,90,visa required,visa required,90,visa required,visa free,visa required,visa required,visa required,visa required,90,visa required,90,90,visa free,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,90,visa required,90,visa required,visa required,visa required,90,visa required,visa free,visa required,visa free,visa free,visa free,visa required,90,visa required,visa required,visa required,90,visa required,visa required,visa free,visa required,visa required,visa required,visa free,-1,visa required,visa required,90,visa free,visa required,visa free,90,90,visa required,visa required,visa required,visa required,90,90,visa free,visa free,visa required,visa required,visa required,visa required,visa free,90,visa free,visa required,90,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa free,visa required,visa required,visa required,visa required,visa free,visa free,visa free,90,visa required,visa required,90,visa required,visa required,visa free,90,visa required,90,90,90,90,90,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa free,90,90,visa required,visa required,visa required,90,visa free,visa required,visa required,90,visa required,90,visa required,90,90,visa required,visa free,visa free,visa required,visa free,visa required,visa required,90,90,90,90,visa required,visa required,visa required,90,90,visa required,90,visa free,visa free,90,visa required,visa required,90,visa required,visa free,visa required,90,visa required,visa required,visa free,visa free,visa required,90,visa required,visa required,visa required,90,visa required,90,90,visa required,visa required,visa required,visa free,visa required,90,90,90,90,90,visa required,visa required,90,90,visa required,visa required,visa required,visa required
GAB,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,30,e-visa,30,30,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,30,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,30,e-visa,30,e-visa,e-visa,e-visa,90,30,e-visa,e-visa,e-visa,e-visa,30,e-visa,e-visa,90,e-visa,e-visa,e-visa,30,e-visa,30,30,30,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,90,e-visa,30,e-visa,e-visa,e-visa,30,30,-1,e-visa,e-visa,30,e-visa,30,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,30,e-visa,30,30,e-visa,e-visa,30,e-visa,30,e-visa,30,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,30,e-visa,e-visa,e-visa,e-visa,e-visa,30,30,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,30,e-visa,e-visa,90,30,e-visa,e-visa,e-visa,e-visa,e-visa,30,e-visa,e-visa,e-visa,e-visa,e-visa,30,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,30,30,e-visa,30,30,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,30,e-visa,e-visa,e-visa,e-visa,e-visa,30,30,e-visa,e-visa,30,30,e-visa,30,e-visa,e-visa,e-visa,e-visa,30,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,visa free,30,e-visa,e-visa,e-visa,e-visa,e-visa,30,30,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa
GMB,visa required,90,90,90,90,90,visa required,90,90,90,90,90,visa required,90,90,90,90,90,visa free,90,90,90,90,visa required,90,90,visa free,90,90,90,90,visa free,90,90,visa required,visa required,visa required,90,90,90,visa required,90,90,90,90,90,90,90,90,90,90,90,visa required,90,90,90,90,90,90,90,90,90,-1,visa required,90,90,90,90,visa required,90,90,90,90,90,visa required,90,90,90,90,visa required,visa required,90,visa required,90,90,visa required,visa required,90,90,90,90,visa required,visa required,90,90,visa required,90,visa free,90,90,90,90,visa required,90,90,90,90,90,90,visa required,90,90,visa required,90,90,90,visa required,90,90,90,visa required,90,90,90,90,90,visa required,90,90,90,90,90,visa required,90,90,visa required,visa required,90,visa required,visa required,90,90,90,visa required,90,90,90,90,90,90,90,90,visa required,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,visa required,90,90,90,visa required,90,90,90,90,90,90,90,90,90,90,90,90,visa on arrival,visa required,90,90,90,90,visa required,visa required,90,90
GEO,e-visa,360,e-visa,360,e-visa,360,360,360,360,360,360,360,360,e-visa,360,360,360,360,e-visa,e-visa,e-visa,360,360,360,360,360,e-visa,e-visa,e-visa,e-visa,360,e-visa,e-visa,e-visa,90,30,360,e-visa,e-visa,e-visa,360,e-visa,360,e-visa,360,360,360,e-visa,e-visa,360,360,e-visa,360,e-visa,e-visa,360,e-visa,e-visa,e-visa,360,360,e-visa,e-visa,-1,360,e-visa,360,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,360,30,360,360,e-visa,e-visa,45,e-visa,360,360,360,e-visa,360,360,360,e-visa,e-visa,visa required,360,360,e-visa,360,360,e-visa,e-visa,e-visa,360,360,360,e-visa,e-visa,e-visa,360,e-visa,e-visa,360,e-visa,e-visa,360,360,e-visa,360,360,e-visa,360,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,360,360,e-visa,e-visa,e-visa,e-visa,90,360,360,e-visa,e-visa,e-visa,360,e-visa,90,e-visa,e-visa,360,360,360,360,360,e-visa,e-visa,e-visa,e-visa,360,e-visa,360,e-visa,360,360,e-visa,360,360,360,e-visa,e-visa,360,360,e-visa,360,e-visa,360,e-visa,e-visa,360,360,e-visa,no admission,360,e-visa,360,e-visa,e-visa,e-visa,e-visa,e-visa,360,360,e-visa,e-visa,360,90,360,360,90,360,e-visa,360,e-visa,e-visa,e-visa,e-visa,e-visa
DEU,visa required,90,visa required,90,visa required,90,90,visa required,90,visa free,visa required,90,visa required,visa required,90,visa required,visa free,visa required,visa required,visa required,visa required,90,visa required,90,90,visa free,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,90,visa required,90,visa required,visa required,visa required,90,visa required,visa free,visa required,visa free,visa free,visa free,visa required,90,visa required,visa required,visa required,90,visa required,visa required,visa free,visa required,visa required,visa required,visa free,visa free,visa required,visa required,90,-1,visa required,visa free,90,90,visa required,visa required,visa required,visa required,90,90,visa free,visa free,visa required,visa required,visa required,visa required,visa free,90,visa free,visa required,90,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa free,visa required,visa required,visa required,visa required,visa free,visa free,visa free,90,visa required,visa required,90,visa required,visa required,visa free,90,visa required,90,90,90,90,90,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa free,90,90,visa required,visa required,visa required,90,visa free,visa required,visa required,90,visa required,90,visa required,90,90,visa required,visa free,visa free,visa required,visa free,visa required,visa required,90,90,90,90,visa required,visa required,visa required,90,90,visa required,90,visa free,visa free,90,visa required,visa required,90,visa required,visa free,visa required,90,visa required,visa required,visa free,visa free,visa required,90,visa required,visa required,visa required,90,visa required,90,90,visa required,visa required,visa required,90,visa required,90,90,90,90,90,visa required,visa required,90,90,visa required,visa required,visa required,visa required
GHA,visa required,visa required,visa on arrival,visa required,visa on arrival,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,60,visa required,visa required,visa required,90,visa required,visa required,visa required,60,visa required,visa required,visa required,90,visa on arrival,visa required,visa on arrival,visa required,visa free,visa on arrival,visa on arrival,visa required,visa required,visa required,visa on arrival,visa on arrival,visa on arrival,visa required,90,visa required,visa required,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa required,visa on arrival,visa required,visa on arrival,visa on arrival,visa required,60,visa on arrival,visa required,visa required,visa required,visa on arrival,visa free,visa required,visa required,-1,visa required,visa required,visa required,90,90,90,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,60,visa required,visa required,visa required,60,visa required,visa required,visa required,visa required,visa required,visa required,visa required,60,visa free,visa on arrival,visa required,visa required,visa required,visa required,visa on arrival,visa on arrival,visa required,visa required,visa free,visa required,visa required,visa on arrival,60,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa on arrival,visa required,visa on arrival,visa required,visa required,visa required,visa required,visa required,visa free,visa free,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,60,visa required,visa required,visa required,visa required,visa on arrival,visa required,visa free,visa required,60,visa free,60,visa required,visa required,visa required,visa on arrival,90,visa required,visa on arrival,visa required,visa required,90,90,visa required,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,visa free,visa required,60,visa on arrival,visa required,visa required,visa required,90,visa required,visa on arrival,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa on arrival,60
GRC,visa required,90,visa required,90,visa required,90,90,visa required,90,visa free,visa required,90,visa required,visa required,90,visa required,visa free,visa required,visa required,visa required,visa required,90,visa required,90,90,visa free,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,90,visa required,90,visa required,visa required,visa required,90,visa required,visa free,visa required,visa free,visa free,visa free,visa required,90,visa required,visa required,visa required,90,visa required,visa required,visa free,visa required,visa required,visa required,visa free,visa free,visa required,visa required,90,visa free,visa required,-1,90,90,visa required,visa required,visa required,visa required,90,90,visa free,visa free,visa required,visa required,visa required,visa required,visa free,90,visa free,visa required,90,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa free,visa required,visa required,visa required,visa required,visa free,visa free,visa free,90,visa required,visa required,90,visa required,visa required,visa free,90,visa required,90,90,90,90,90,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa free,90,90,visa required,visa required,visa required,90,visa free,visa required,visa required,90,visa required,90,visa required,90,90,visa required,visa free,visa free,visa required,visa free,visa required,visa required,90,90,90,90,visa required,visa required,visa required,90,90,visa required,90,visa free,visa free,90,visa required,visa required,90,visa required,visa free,visa required,90,visa required,visa required,visa free,visa free,visa required,90,visa required,visa required,visa required,90,visa required,90,90,visa required,visa required,visa required,90,visa required,90,90,90,90,90,visa required,visa required,90,90,visa required,visa required,visa required,visa required
GRD,visa required,visa required,visa required,visa required,visa required,visa free,30,visa required,90,90,visa required,90,visa required,90,90,visa required,90,90,visa required,visa required,visa required,visa required,90,90,90,90,visa required,visa required,visa required,90,90,visa required,visa required,visa required,90,30,visa required,visa required,visa required,visa required,90,visa required,90,60,90,90,90,visa required,visa free,90,90,visa required,90,visa required,visa required,90,90,visa required,visa required,90,90,visa required,90,90,90,90,90,-1,visa required,visa required,visa required,90,90,visa required,90,90,90,90,visa required,visa required,visa required,90,90,90,90,90,visa required,visa required,90,90,visa required,visa required,visa required,visa required,90,visa required,90,visa required,visa required,90,90,90,90,visa required,90,90,90,visa required,90,visa required,visa required,90,90,90,visa required,90,visa required,visa required,90,90,visa required,90,90,visa required,90,90,90,visa required,visa required,visa required,visa required,90,visa required,visa required,90,visa required,visa required,90,visa required,90,visa required,90,90,visa required,90,90,90,visa free,visa free,90,90,visa required,visa required,visa required,90,90,90,90,90,90,90,visa required,90,90,visa required,90,90,visa free,visa required,90,90,90,visa required,visa required,visa required,90,visa required,visa required,visa required,90,90,visa required,visa required,visa required,90,90,90,90,90,90,90,visa required,90,90,90,visa required,visa required,90,visa required
GTM,visa required,visa required,visa required,90,visa required,90,90,visa required,90,90,visa required,90,90,visa required,90,visa required,90,90,visa required,visa required,visa required,visa required,visa required,90,90,90,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,90,visa required,90,visa required,visa required,visa required,90,visa required,90,visa required,90,90,90,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,90,visa required,visa required,90,90,90,visa required,visa required,visa required,90,visa required,90,visa required,-1,visa required,visa required,visa required,visa required,90,visa required,90,90,visa required,visa required,visa required,visa required,90,90,90,visa required,90,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,90,visa required,visa required,visa required,visa required,90,90,90,visa required,90,visa required,90,visa required,visa required,90,90,visa required,visa required,90,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,90,90,90,visa required,visa required,visa required,90,90,visa required,visa required,visa required,visa required,90,visa required,90,90,visa required,90,90,90,90,90,visa required,90,90,visa required,90,90,90,visa required,visa required,visa required,visa required,90,90,90,90,visa required,90,90,visa required,90,visa required,90,visa required,visa required,90,90,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,90,visa required,90,visa required,90,visa required,90,90,90,90,90,visa required,90,90,visa required,visa required,visa required,visa required,visa required
GIN,e-visa,e-visa,visa free,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,visa free,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,visa free,e-visa,e-visa,e-visa,e-visa,visa free,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,visa free,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,visa free,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,visa free,e-visa,e-visa,visa free,e-visa,e-visa,e-visa,-1,visa free,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,visa free,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,visa free,e-visa,e-visa,visa free,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,visa free,e-visa,e-visa,visa free,e-visa,e-visa,e-visa,e-visa,e-visa,visa free,visa free,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,visa free,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,visa free,e-visa,e-visa,visa free,30,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,visa free,e-visa,e-visa,visa free,e-visa,e-visa,visa free,e-visa,e-visa,e-visa,e-visa,e-visa,visa on arrival,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa
